day_in_year,hr,mean_power,seq
07/01/2017,11,33772.151898,156
07/01/2017,12,34033.41772,157
07/01/2017,13,33486.582277,158
07/01/2017,14,32428.35443,159
07/01/2017,15,31467.341772,160
07/01/2017,16,30612.658228,161
07/01/2017,17,36232.911392,162
07/01/2017,18,41583.797468,163
07/01/2017,19,40846.582277,164
07/01/2017,20,40649.113923,165
07/01/2017,21,39227.341773,166
07/01/2017,22,36025.316455,167
07/01/2017,23,31526.07595,168
08/01/2017,0,26633.924052,169
08/01/2017,1,23640.506328,170
08/01/2017,2,21817.72152,171
08/01/2017,3,20831.392407,172
08/01/2017,4,20688.607595,173
08/01/2017,5,21004.556962,174
08/01/2017,6,22544.810128,175
08/01/2017,7,19838.987342,176
08/01/2017,8,21153.417722,177
08/01/2017,9,25160.50633,178
08/01/2017,10,29874.43038,179
08/01/2017,11,32192.405062,180
08/01/2017,12,32911.392405,181
08/01/2017,13,33279.999998,182
08/01/2017,14,32392.911393,183
08/01/2017,15,31365.063292,184
08/01/2017,16,30446.582278,185
08/01/2017,17,34912.405062,186
08/01/2017,18,40689.620253,187
08/01/2017,19,41525.063292,188
08/01/2017,20,41095.696202,189
08/01/2017,21,39589.873417,190
08/01/2017,22,35763.037975,191
08/01/2017,23,30085.063293,192
09/01/2017,0,25735.696202,193
09/01/2017,1,22778.734177,194
09/01/2017,2,21659.746835,195
09/01/2017,3,20750.379747,196
09/01/2017,4,20070.886075,197
09/01/2017,5,20166.07595,198
09/01/2017,6,22882.025318,199
09/01/2017,7,23162.531645,200
09/01/2017,8,25051.139242,201
09/01/2017,9,27923.037975,202
09/01/2017,10,31152.405065,203
09/01/2017,11,33616.20253,204
09/01/2017,12,33856.202533,205
09/01/2017,13,34044.556962,206
09/01/2017,14,32716.962027,207
09/01/2017,15,32035.443037,208
09/01/2017,16,31355.949367,209
09/01/2017,17,36961.012658,210
09/01/2017,18,43337.721517,211
09/01/2017,19,42882.025317,212
09/01/2017,20,42337.21519,213
09/01/2017,21,40523.544303,214
09/01/2017,22,36894.177215,215
09/01/2017,23,31072.405065,216
10/01/2017,0,26808.101265,217
10/01/2017,1,24114.430378,218
10/01/2017,2,22617.721518,219
10/01/2017,3,22123.544303,220
10/01/2017,4,21799.49367,221
10/01/2017,5,22428.35443,222
10/01/2017,6,24864.810125,223
10/01/2017,7,24777.721518,224
10/01/2017,8,26118.481012,225
10/01/2017,9,29215.189872,226
10/01/2017,10,32407.088605,227
10/01/2017,11,34316.962023,228
10/01/2017,12,35157.468355,229
10/01/2017,13,35207.088607,230
10/01/2017,14,34593.417722,231
10/01/2017,15,33701.265822,232
10/01/2017,16,33927.088605,233
10/01/2017,17,38522.531645,234
10/01/2017,18,44421.265822,235
10/01/2017,19,43608.101267,236
10/01/2017,20,43183.797467,237
10/01/2017,21,41019.746833,238
10/01/2017,22,37440,239
10/01/2017,23,32345.316457,240
11/01/2017,0,27692.1519,241
11/01/2017,1,24809.113923,242
11/01/2017,2,23112.911392,243
11/01/2017,3,22335.189872,244
11/01/2017,4,22111.392407,245
11/01/2017,5,22670.379748,246
11/01/2017,6,24252.151897,247
11/01/2017,7,21324.556963,248
11/01/2017,8,23224.303797,249
11/01/2017,9,26857.72152,250
11/01/2017,10,30545.822785,251
11/01/2017,11,33227.341772,252
11/01/2017,12,33957.468353,253
11/01/2017,13,33842.025317,254
11/01/2017,14,33289.113923,255
11/01/2017,15,32352.405063,256
11/01/2017,16,31906.835445,257
11/01/2017,17,36395.949368,258
11/01/2017,18,43511.898733,259
11/01/2017,19,43317.468355,260
11/01/2017,20,43147.341772,261
11/01/2017,21,41233.417722,262
11/01/2017,22,37779.240507,263
11/01/2017,23,32490.126583,264
12/01/2017,0,27503.79747,265
12/01/2017,1,24614.683542,266
12/01/2017,2,23113.924052,267
12/01/2017,3,22286.582278,268
12/01/2017,4,21904.810127,269
12/01/2017,5,22417.21519,270
12/01/2017,6,24866.835442,271
12/01/2017,7,24814.177217,272
12/01/2017,8,26269.367092,273
12/01/2017,9,30000,274
12/01/2017,10,32971.13924,275
12/01/2017,11,35158.481013,276
12/01/2017,12,36164.050633,277
12/01/2017,13,35520,278
12/01/2017,14,34684.556963,279
12/01/2017,15,33514.93671,280
12/01/2017,16,33054.177215,281
12/01/2017,17,37527.088607,282
12/01/2017,18,44260.253163,283
12/01/2017,19,43891.645568,284
12/01/2017,20,43487.594938,285
12/01/2017,21,41544.303798,286
12/01/2017,22,37836.962025,287
12/01/2017,23,32416.202533,288
13/01/2017,0,27510.886075,289
13/01/2017,1,24625.822785,290
13/01/2017,2,23282.025317,291
13/01/2017,3,22396.962025,292
13/01/2017,4,22183.29114,293
13/01/2017,5,22979.240507,294
13/01/2017,6,25200,295
13/01/2017,7,25087.594937,296
13/01/2017,8,25849.113925,297
13/01/2017,9,28554.936708,298
13/01/2017,10,31521.01266,299
13/01/2017,11,33754.936707,300
13/01/2017,12,33501.77215,301
13/01/2017,13,33516.962027,302
13/01/2017,14,33183.797467,303
13/01/2017,15,32764.556963,304
13/01/2017,16,32629.873415,305
13/01/2017,17,37349.873418,306
13/01/2017,18,43534.177215,307
13/01/2017,19,43306.329115,308
13/01/2017,20,42627.8481,309
13/01/2017,21,40579.240508,310
13/01/2017,22,37165.569622,311
13/01/2017,23,32320,312
14/01/2017,0,27818.734177,313
14/01/2017,1,24587.341773,314
14/01/2017,2,22832.405063,315
14/01/2017,3,22038.48101,316
14/01/2017,4,21978.734177,317
14/01/2017,5,22630.886077,318
14/01/2017,6,24803.037977,319
14/01/2017,7,23113.92405,320
14/01/2017,8,24645.063292,321
14/01/2017,9,28377.72152,322
14/01/2017,10,32061.772153,323
14/01/2017,11,33933.164558,324
14/01/2017,12,34408.101267,325
14/01/2017,13,34396.962027,326
14/01/2017,14,32752.405062,327
14/01/2017,15,31766.07595,328
14/01/2017,16,31704.303798,329
14/01/2017,17,35730.632912,330
14/01/2017,18,42324.050632,331
14/01/2017,19,42041.518987,332
14/01/2017,20,41438.987342,333
14/01/2017,21,39775.189872,334
14/01/2017,22,36744.303797,335
14/01/2017,23,28128.607595,336
15/01/2017,0,25577.721518,337
15/01/2017,1,19373.164557,338
15/01/2017,2,17353.92405,339
15/01/2017,3,16338.227847,340
15/01/2017,4,15908.860762,341
15/01/2017,5,16288.607595,342
15/01/2017,6,17296.202532,343
15/01/2017,7,14329.113923,344
15/01/2017,8,15346.835443,345
15/01/2017,9,18377.72152,346
15/01/2017,10,22342.27848,347
15/01/2017,11,24767.594938,348
15/01/2017,12,28669.367088,349
15/01/2017,13,31925.06329,350
15/01/2017,14,31148.354433,351
15/01/2017,15,30299.746837,352
15/01/2017,16,29600,353
15/01/2017,17,33433.924052,354
15/01/2017,18,40677.468353,355
15/01/2017,19,41846.075948,356
15/01/2017,20,42320,357
15/01/2017,21,40261.265823,358
15/01/2017,22,37180.759495,359
15/01/2017,23,31854.177215,360
16/01/2017,0,25689.113925,361
16/01/2017,1,20683.544302,362
16/01/2017,2,19293.164557,363
16/01/2017,3,18972.151898,364
16/01/2017,4,20017.21519,365
16/01/2017,5,21791.392405,366
16/01/2017,6,23734.683545,367
16/01/2017,7,24100.253165,368
16/01/2017,8,25292.151897,369
16/01/2017,9,28600.50633,370
16/01/2017,10,31733.670885,371
16/01/2017,11,33893.670887,372
16/01/2017,12,35034.93671,373
16/01/2017,13,34893.16456,374
16/01/2017,14,33614.177217,375
16/01/2017,15,32615.696203,376
16/01/2017,16,32133.670887,377
16/01/2017,17,36107.341772,378
16/01/2017,18,43663.797468,379
16/01/2017,19,43402.531645,380
16/01/2017,20,42816.202533,381
16/01/2017,21,38437.468357,382
16/01/2017,22,35807.594935,383
16/01/2017,23,31766.075948,384
17/01/2017,0,26957.974685,385
17/01/2017,1,24134.683545,386
17/01/2017,2,22681.518987,387
17/01/2017,3,22131.645568,388
17/01/2017,4,21738.734178,389
17/01/2017,5,22672.405062,390
17/01/2017,6,25068.354432,391
17/01/2017,7,25252.658228,392
17/01/2017,8,26327.088608,393
17/01/2017,9,29557.468357,394
17/01/2017,10,32466.835442,395
17/01/2017,11,34617.721518,396
17/01/2017,12,35882.531647,397
17/01/2017,13,35042.025318,398
17/01/2017,14,33595.949368,399
17/01/2017,15,33521.012658,400
17/01/2017,16,32783.79747,401
17/01/2017,17,36558.987343,402
17/01/2017,18,44377.721518,403
17/01/2017,19,44157.974683,404
17/01/2017,20,43850.126583,405
17/01/2017,21,41845.06329,406
17/01/2017,22,37273.92405,407
17/01/2017,23,31463.29114,408
18/01/2017,0,27048.101265,409
18/01/2017,1,23975.696203,410
18/01/2017,2,22896.20253,411
18/01/2017,3,22216.708862,412
18/01/2017,4,21878.481013,413
18/01/2017,5,22913.417722,414
18/01/2017,6,25343.797467,415
18/01/2017,7,25068.35443,416
18/01/2017,8,27029.873418,417
18/01/2017,9,30353.417722,418
18/01/2017,10,34226.835442,419
18/01/2017,11,36638.987342,420
18/01/2017,12,37590.886077,421
18/01/2017,13,38044.55696,422
18/01/2017,14,38087.088607,423
18/01/2017,15,37466.329112,424
18/01/2017,16,36839.493672,425
18/01/2017,17,39201.012658,426
18/01/2017,18,44904.303797,427
18/01/2017,19,44831.392405,428
18/01/2017,20,43235.443037,429
18/01/2017,21,41009.620253,430
18/01/2017,22,36917.468353,431
18/01/2017,23,30934.683543,432
19/01/2017,0,26356.455695,433
19/01/2017,1,23470.379748,434
19/01/2017,2,22092.151897,435
19/01/2017,3,21432.911392,436
19/01/2017,4,21035.949368,437
19/01/2017,5,21706.329113,438
19/01/2017,6,24067.848102,439
19/01/2017,7,23864.303797,440
19/01/2017,8,25436.962023,441
19/01/2017,9,28549.87342,442
19/01/2017,10,32038.481012,443
19/01/2017,11,34135.696202,444
19/01/2017,12,34947.8481,445
19/01/2017,13,35392.405065,446
19/01/2017,14,34773.670885,447
19/01/2017,15,35849.113923,448
19/01/2017,16,35731.645568,449
19/01/2017,17,39614.177217,450
19/01/2017,18,45774.177215,451
19/01/2017,19,45447.088607,452
19/01/2017,20,45141.265822,453
19/01/2017,21,42868.86076,454
19/01/2017,22,38720.000002,455
19/01/2017,23,32917.468353,456
20/01/2017,0,27848.101267,457
20/01/2017,1,24448.607597,458
20/01/2017,2,22911.392405,459
20/01/2017,3,21894.683543,460
20/01/2017,4,21698.227848,461
20/01/2017,5,22317.974683,462
20/01/2017,6,24429.367088,463
20/01/2017,7,23745.822787,464
20/01/2017,8,25256.70886,465
20/01/2017,9,28804.050633,466
20/01/2017,10,32163.037977,467
20/01/2017,11,34640,468
20/01/2017,12,34940.759495,469
20/01/2017,13,35345.822787,470
20/01/2017,14,35422.78481,471
20/01/2017,15,33793.417722,472
20/01/2017,16,31493.670887,473
20/01/2017,17,34504.303797,474
20/01/2017,18,42566.07595,475
20/01/2017,19,43885.56962,476
20/01/2017,20,43536.20253,477
20/01/2017,21,42897.21519,478
20/01/2017,22,39805.569623,479
20/01/2017,23,34446.582277,480
21/01/2017,0,28655.189875,481
21/01/2017,1,25089.620253,482
21/01/2017,2,23371.13924,483
21/01/2017,3,22274.430378,484
21/01/2017,4,22015.189875,485
21/01/2017,5,22531.645568,486
21/01/2017,6,24373.670885,487
21/01/2017,7,22666.329113,488
21/01/2017,8,24455.696203,489
21/01/2017,9,28500.253165,490
21/01/2017,10,32243.037975,491
21/01/2017,11,34741.265823,492
21/01/2017,12,35061.265823,493
21/01/2017,13,35415.696203,494
21/01/2017,14,34316.962025,495
21/01/2017,15,33609.113925,496
21/01/2017,16,32744.303797,497
21/01/2017,17,36008.101267,498
21/01/2017,18,44119.493672,499
21/01/2017,19,44416.20253,500
21/01/2017,20,44034.43038,501
21/01/2017,21,42402.025317,502
21/01/2017,22,38961.012658,503
21/01/2017,23,34266.329113,504
22/01/2017,0,28452.658227,505
22/01/2017,1,24868.86076,506
22/01/2017,2,22447.594937,507
22/01/2017,3,21535.189873,508
22/01/2017,4,20904.303797,509
22/01/2017,5,21367.088607,510
22/01/2017,6,22783.797467,511
22/01/2017,7,20784.810128,512
22/01/2017,8,22428.35443,513
22/01/2017,9,25981.772152,514
22/01/2017,10,30362.531647,515
22/01/2017,11,33944.303795,516
22/01/2017,12,35265.822785,517
22/01/2017,13,36174.177213,518
22/01/2017,14,35228.354432,519
22/01/2017,15,34132.658228,520
22/01/2017,16,32795.949367,521
22/01/2017,17,34027.341772,522
22/01/2017,18,41183.797468,523
22/01/2017,19,41930.126582,524
22/01/2017,20,42817.215188,525
22/01/2017,21,41721.518987,526
22/01/2017,22,38335.189875,527
22/01/2017,23,32647.088607,528
23/01/2017,0,27724.556958,529
23/01/2017,1,24430.379748,530
23/01/2017,2,23052.151898,531
23/01/2017,3,22100.253167,532
23/01/2017,4,22091.139242,533
23/01/2017,5,22625.822783,534
23/01/2017,6,24976.20253,535
23/01/2017,7,24033.41772,536
23/01/2017,8,25929.113925,537
23/01/2017,9,29134.177215,538
23/01/2017,10,32703.797467,539
23/01/2017,11,35515.949365,540
23/01/2017,12,36889.113925,541
23/01/2017,13,36936.708857,542
23/01/2017,14,36072.911392,543
23/01/2017,15,35160.506328,544
23/01/2017,16,34908.354432,545
23/01/2017,17,37594.936708,546
23/01/2017,18,44618.734177,547
23/01/2017,19,44755.443038,548
23/01/2017,20,44518.481012,549
23/01/2017,21,42670.379747,550
23/01/2017,22,38675.443037,551
23/01/2017,23,33011.64557,552
24/01/2017,0,27886.582278,553
24/01/2017,1,24629.873417,554
24/01/2017,2,23008.607595,555
24/01/2017,3,22133.670887,556
24/01/2017,4,22076.962025,557
24/01/2017,5,23046.075948,558
24/01/2017,6,24930.63291,559
24/01/2017,7,23042.02532,560
24/01/2017,8,25486.58228,561
24/01/2017,9,29291.13924,562
24/01/2017,10,30943.797467,563
24/01/2017,11,30931.645568,564
24/01/2017,12,32190.379747,565
24/01/2017,13,32623.797468,566
24/01/2017,14,33369.113925,567
24/01/2017,15,34312.911393,568
24/01/2017,16,33389.367088,569
24/01/2017,17,36678.481013,570
24/01/2017,18,44408.101267,571
24/01/2017,19,43966.582278,572
24/01/2017,20,43947.341772,573
24/01/2017,21,43082.531647,574
24/01/2017,22,39488.607595,575
24/01/2017,23,33133.164558,576
25/01/2017,0,27882.531645,577
25/01/2017,1,24542.784808,578
25/01/2017,2,22920.506328,579
25/01/2017,3,22469.873418,580
25/01/2017,4,22294.683545,581
25/01/2017,5,23135.189873,582
25/01/2017,6,25325.569622,583
25/01/2017,7,23406.582278,584
25/01/2017,8,25622.278482,585
25/01/2017,9,29473.417722,586
25/01/2017,10,32845.569622,587
25/01/2017,11,35299.240508,588
25/01/2017,12,35942.27848,589
25/01/2017,13,36245.06329,590
25/01/2017,14,35467.341772,591
25/01/2017,15,34469.873418,592
25/01/2017,16,33534.177215,593
25/01/2017,17,36339.240508,594
25/01/2017,18,44290.632915,595
25/01/2017,19,44446.582278,596
25/01/2017,20,44362.531645,597
25/01/2017,21,42670.379745,598
25/01/2017,22,39180.759493,599
25/01/2017,23,33121.012658,600
26/01/2017,0,28070.886077,601
26/01/2017,1,25005.56962,602
26/01/2017,2,23204.050633,603
26/01/2017,3,22477.974682,604
26/01/2017,4,22117.468353,605
26/01/2017,5,23380.253165,606
26/01/2017,6,25195.949365,607
26/01/2017,7,23696.202533,608
26/01/2017,8,25499.746837,609
26/01/2017,9,29645.56962,610
26/01/2017,10,33290.126582,611
26/01/2017,11,35791.392405,612
26/01/2017,12,36252.1519,613
26/01/2017,13,36018.227848,614
26/01/2017,14,35372.1519,615
26/01/2017,15,35218.227848,616
26/01/2017,16,35508.86076,617
26/01/2017,17,38465.822785,618
26/01/2017,18,45528.101265,619
26/01/2017,19,45252.658228,620
26/01/2017,20,45002.531645,621
26/01/2017,21,42453.670888,622
26/01/2017,22,38622.78481,623
26/01/2017,23,33601.01266,624
27/01/2017,0,28407.088608,625
27/01/2017,1,25081.518987,626
27/01/2017,2,23086.582278,627
27/01/2017,3,22078.987338,628
27/01/2017,4,21867.341773,629
27/01/2017,5,22884.050633,630
27/01/2017,6,24036.455695,631
27/01/2017,7,22748.354428,632
27/01/2017,8,24949.873417,633
27/01/2017,9,29556.455695,634
27/01/2017,10,33206.075948,635
27/01/2017,11,35648.607593,636
27/01/2017,12,34978.227848,637
27/01/2017,13,35557.468353,638
27/01/2017,14,35467.34177,639
27/01/2017,15,35124.050632,640
27/01/2017,16,35521.012657,641
27/01/2017,17,38371.64557,642
27/01/2017,18,44807.088607,643
27/01/2017,19,43668.86076,644
27/01/2017,20,43597.974683,645
27/01/2017,21,42120.50633,646
27/01/2017,22,38663.291138,647
27/01/2017,23,33693.164557,648
28/01/2017,0,28672.405063,649
28/01/2017,1,25052.151897,650
28/01/2017,2,23386.329115,651
28/01/2017,3,22582.278478,652
28/01/2017,4,22348.354428,653
28/01/2017,5,23020.75949,654
28/01/2017,6,23722.531647,655
28/01/2017,7,21041.012658,656
28/01/2017,8,23819.746837,657
28/01/2017,9,27984.810127,658
28/01/2017,10,31458.22785,659
28/01/2017,11,34112.405063,660
28/01/2017,12,34904.303798,661
28/01/2017,13,35019.746835,662
28/01/2017,14,34273.417722,663
28/01/2017,15,32680.506328,664
28/01/2017,16,31902.78481,665
28/01/2017,17,33992.911392,666
28/01/2017,18,42568.101265,667
28/01/2017,19,42923.544303,668
28/01/2017,20,42345.316457,669
28/01/2017,21,41107.848102,670
28/01/2017,22,38176.202533,671
28/01/2017,23,34061.772153,672
29/01/2017,0,28744.303797,673
29/01/2017,1,24900.253165,674
29/01/2017,2,22540.759493,675
29/01/2017,3,21604.050635,676
29/01/2017,4,21353.924053,677
29/01/2017,5,21920,678
29/01/2017,6,22760.506328,679
29/01/2017,7,19628.354432,680
29/01/2017,8,20831.392407,681
29/01/2017,9,23846.07595,682
29/01/2017,10,27927.088608,683
29/01/2017,11,30428.354432,684
29/01/2017,12,31742.784808,685
29/01/2017,13,32190.37975,686
29/01/2017,14,31466.329115,687
29/01/2017,15,30378.734177,688
29/01/2017,16,28972.151898,689
29/01/2017,17,30597.468353,690
29/01/2017,18,38810.126582,691
29/01/2017,19,39474.43038,692
29/01/2017,20,40016.202532,693
29/01/2017,21,40339.240507,694
29/01/2017,22,38157.974683,695
29/01/2017,23,33623.291138,696
30/01/2017,0,28703.797468,697
30/01/2017,1,24877.974683,698
30/01/2017,2,22955.949368,699
30/01/2017,3,22141.772152,700
30/01/2017,4,21984.810128,701
30/01/2017,5,22470.886077,702
30/01/2017,6,23734.683543,703
30/01/2017,7,21166.582278,704
30/01/2017,8,24272.405063,705
30/01/2017,9,27939.240505,706
30/01/2017,10,31918.98734,707
30/01/2017,11,34401.012658,708
30/01/2017,12,35185.822783,709
30/01/2017,13,35052.151898,710
30/01/2017,14,34615.696202,711
30/01/2017,15,33869.367088,712
30/01/2017,16,33227.341772,713
30/01/2017,17,34803.037975,714
30/01/2017,18,42957.974683,715
30/01/2017,19,43094.683545,716
30/01/2017,20,43088.607597,717
30/01/2017,21,41838.987343,718
30/01/2017,22,38748.354432,719
30/01/2017,23,33526.075948,720
31/01/2017,0,28500.253165,721
31/01/2017,1,25238.481015,722
31/01/2017,2,23733.670887,723
31/01/2017,3,22492.151898,724
31/01/2017,4,22136.70886,725
31/01/2017,5,22829.367088,726
31/01/2017,6,24680.50633,727
31/01/2017,7,22403.037972,728
31/01/2017,8,24977.21519,729
31/01/2017,9,29006.582278,730
31/01/2017,10,32135.696202,731
31/01/2017,11,34257.21519,732
31/01/2017,12,34963.037975,733
31/01/2017,13,34911.392405,734
31/01/2017,14,33957.468355,735
31/01/2017,15,33243.544303,736
31/01/2017,16,32496.202532,737
31/01/2017,17,34795.949367,738
31/01/2017,18,42857.721518,739
31/01/2017,19,42843.544303,740
31/01/2017,20,43023.79747,741
31/01/2017,21,41560.50633,742
31/01/2017,22,38052.658228,743
31/01/2017,23,33158.48101,744
01/02/2017,0,28172.542372,745
01/02/2017,1,25288.474577,746
01/02/2017,2,23351.18644,747
01/02/2017,3,22359.661017,748
01/02/2017,4,22213.220338,749
01/02/2017,5,22843.728813,750
01/02/2017,6,24146.440677,751
01/02/2017,7,21052.881357,752
01/02/2017,8,23725.423727,753
01/02/2017,9,26892.20339,754
01/02/2017,10,30457.62712,755
01/02/2017,11,33467.79661,756
01/02/2017,12,34818.305087,757
01/02/2017,13,34741.01695,758
01/02/2017,14,34357.62712,759
01/02/2017,15,33722.033898,760
01/02/2017,16,33081.355932,761
01/02/2017,17,34508.135593,762
01/02/2017,18,43026.101697,763
01/02/2017,19,43457.288135,764
01/02/2017,20,42988.474577,765
01/02/2017,21,41753.898305,766
01/02/2017,22,38633.898305,767
01/02/2017,23,33921.355933,768
02/02/2017,0,28840.677967,769
02/02/2017,1,25653.559323,770
02/02/2017,2,23737.627118,771
02/02/2017,3,23001.355932,772
02/02/2017,4,22627.118645,773
02/02/2017,5,23176.271185,774
02/02/2017,6,24233.898302,775
02/02/2017,7,21895.932205,776
02/02/2017,8,24453.559323,777
02/02/2017,9,28283.389832,778
02/02/2017,10,31821.355933,779
02/02/2017,11,34241.694917,780
02/02/2017,12,35466.101693,781
02/02/2017,13,35698.98305,782
02/02/2017,14,34854.915253,783
02/02/2017,15,34916.949153,784
02/02/2017,16,34286.440678,785
02/02/2017,17,35731.525425,786
02/02/2017,18,43570.169492,787
02/02/2017,19,43256.949152,788
02/02/2017,20,43035.254238,789
02/02/2017,21,41303.389828,790
02/02/2017,22,37837.627118,791
02/02/2017,23,33217.627117,792
03/02/2017,0,28589.491525,793
03/02/2017,1,25417.62712,794
03/02/2017,2,23666.440678,795
03/02/2017,3,22928.135593,796
03/02/2017,4,22885.42373,797
03/02/2017,5,23596.271185,798
03/02/2017,6,24388.474575,799
03/02/2017,7,21600.000002,800
03/02/2017,8,24137.288135,801
03/02/2017,9,28094.23729,802
03/02/2017,10,31423.728813,803
03/02/2017,11,33628.474573,804
03/02/2017,12,32729.491523,805
03/02/2017,13,32462.0339,806
03/02/2017,14,32350.169492,807
03/02/2017,15,31825.42373,808
03/02/2017,16,31406.440678,809
03/02/2017,17,32621.694917,810
03/02/2017,18,40895.59322,811
03/02/2017,19,41218.983052,812
03/02/2017,20,41316.61017,813
03/02/2017,21,39773.898305,814
03/02/2017,22,37381.016948,815
03/02/2017,23,33327.457627,816
04/02/2017,0,28849.830507,817
04/02/2017,1,25538.644068,818
04/02/2017,2,23695.932203,819
04/02/2017,3,22654.576272,820
04/02/2017,4,22301.694915,821
04/02/2017,5,23194.576272,822
04/02/2017,6,23746.779663,823
